,Iterations,Cooling_schedule,Cost,Initial temperature
0,1,Linear,26327.95351733402,530
1,1,Linear,28358.013303092863,850
2,1,Linear,32154.930087986144,1700
3,1,Log,26729.230015974867,120
4,1,Log,27176.777318324745,180
5,1,Log,31723.7541212058,370
6,1,Exponential,27971.57047692988,150
7,1,Exponential,30030.962424228564,220
8,1,Exponential,33199.73130695832,450
9,1,Quadratic,28447.8403429462,530
10,1,Quadratic,28889.720812370582,850
11,1,Quadratic,31805.204275184387,1700
12,2,Linear,24367.944886612495,530
13,2,Linear,26740.029441981984,850
14,2,Linear,31062.933238855177,1700
15,2,Log,23304.63256602368,120
16,2,Log,26195.41597063854,180
17,2,Log,30962.94435481179,370
18,2,Exponential,26555.13418353034,150
19,2,Exponential,29888.714666281816,220
20,2,Exponential,31647.921799570307,450
21,2,Quadratic,16367.286692626118,530
22,2,Quadratic,21348.317615923374,850
23,2,Quadratic,27489.302606270903,1700
24,3,Linear,17497.1531670553,530
25,3,Linear,23393.73962601776,850
26,3,Linear,30515.385233573023,1700
27,3,Log,21074.39739881646,120
28,3,Log,23419.796618184006,180
29,3,Log,28479.096680370527,370
30,3,Exponential,26316.428468096634,150
31,3,Exponential,28421.103380773144,220
32,3,Exponential,31941.965621379702,450
33,3,Quadratic,9454.967872797344,530
34,3,Quadratic,14232.56206415697,850
35,3,Quadratic,19623.603035407676,1700
36,5,Linear,13842.172478298107,530
37,5,Linear,18514.439125712022,850
38,5,Linear,25851.04331398616,1700
39,5,Log,17146.636810591695,120
40,5,Log,22871.18071998927,180
41,5,Log,27857.289941072526,370
42,5,Exponential,23251.50889983039,150
43,5,Exponential,26356.537585056016,220
44,5,Exponential,31388.513674712776,450
45,5,Quadratic,4716.210170266541,530
46,5,Quadratic,6371.331585648579,850
47,5,Quadratic,9973.496607454566,1700
